customer_id,loan_id,riesgo_score,tasa_interes_dinamica
1223,1,9.00E-04,0.10036
5190,2,2.00E-04,0.10008
5194,3,2.00E-04,0.10008
3978,4,3.00E-04,0.10012
4535,5,4.00E-04,0.10016
3604,6,3.00E-04,0.10012
271,7,3.00E-04,0.10012
5430,8,2.00E-04,0.10008
5128,9,3.00E-04,0.10012
4402,10,2.00E-04,0.10008
1329,11,3.00E-04,0.10012
5323,12,3.00E-04,0.10012
3460,13,3.00E-04,0.10012
1881,14,0.9997,0.49988
3597,15,2.00E-04,0.10008
2888,16,0.9995,0.4998
5101,17,3.00E-04,0.10012
4798,18,3.00E-04,0.10012
1338,19,4.00E-04,0.10016
1148,20,0.9996,0.49984
2092,21,0.9996,0.49984
3149,22,3.00E-04,0.10012
4030,23,3.00E-04,0.10012
3662,24,4.00E-04,0.10016
3614,25,7.00E-04,0.10028
3750,26,5.00E-04,0.1002
4368,27,4.00E-04,0.10016
701,28,5.00E-04,0.1002
5204,29,3.00E-04,0.10012
4710,30,2.00E-04,0.10008
2331,31,2.00E-04,0.10008
5406,32,3.00E-04,0.10012
1661,33,5.00E-04,0.1002
3082,34,7.00E-04,0.10028
3420,35,0.9999,0.49996
1313,36,5.00E-04,0.1002
5420,37,0.9899,0.49596
2940,38,3.00E-04,0.10012
537,39,4.00E-04,0.10016
849,40,0.9994,0.49976
3779,41,0.9994,0.49976
3519,42,4.00E-04,0.10016
578,43,0.0042,0.10168
993,44,3.00E-04,0.10012
3846,45,0.8925,0.457
3213,46,8.00E-04,0.10032
3842,47,6.00E-04,0.10024
3538,48,2.00E-04,0.10008
2347,49,2.00E-04,0.10008
2342,50,3.00E-04,0.10012
4134,51,0.348,0.2392
2320,52,5.00E-04,0.1002
1752,53,2.00E-04,0.10008
414,54,4.00E-04,0.10016
4471,55,7.00E-04,0.10028
4222,56,3.00E-04,0.10012
1379,57,6.00E-04,0.10024
2844,58,0.8554,0.44216
2691,59,3.00E-04,0.10012
2508,60,2.00E-04,0.10008
4840,61,3.00E-04,0.10012
3492,62,6.00E-04,0.10024
1520,63,2.00E-04,0.10008
2549,64,3.00E-04,0.10012
1741,65,3.00E-04,0.10012
4554,66,4.00E-04,0.10016
5342,67,3.00E-04,0.10012
563,68,3.00E-04,0.10012
3344,69,0.0022,0.10088
1272,70,6.00E-04,0.10024
1902,71,4.00E-04,0.10016
4651,72,3.00E-04,0.10012
715,73,2.00E-04,0.10008
4033,74,0.9996,0.49984
4767,75,0.0036,0.10144
3355,76,4.00E-04,0.10016
3246,77,0.9932,0.49728
4694,78,0.9996,0.49984
2737,79,0.9995,0.4998
3107,80,3.00E-04,0.10012
389,81,5.00E-04,0.1002
3751,82,2.00E-04,0.10008
4751,83,2.00E-04,0.10008
5304,84,3.00E-04,0.10012
3025,85,5.00E-04,0.1002
2181,86,4.00E-04,0.10016
1340,87,0.0995,0.1398
2547,88,2.00E-04,0.10008
2096,89,6.00E-04,0.10024
3084,90,5.00E-04,0.1002
1602,91,3.00E-04,0.10012
3269,92,0.2009,0.18036
1320,93,3.00E-04,0.10012
5307,94,3.00E-04,0.10012
3772,95,2.00E-04,0.10008
4829,96,3.00E-04,0.10012
2535,97,3.00E-04,0.10012
4898,98,4.00E-04,0.10016
231,99,2.00E-04,0.10008
2125,100,3.00E-04,0.10012
3663,101,0.0189,0.10756
1526,102,6.00E-04,0.10024
101,103,4.00E-04,0.10016
5424,104,0.3423,0.23692
1564,105,2.00E-04,0.10008
5129,106,3.00E-04,0.10012
5435,107,2.00E-04,0.10008
5440,108,2.00E-04,0.10008
1450,109,3.00E-04,0.10012
1721,110,0.9997,0.49988
3466,111,0.004,0.1016
1064,112,2.00E-04,0.10008
3883,113,4.00E-04,0.10016
1523,114,7.00E-04,0.10028
1745,115,1.00E-04,0.10004
5040,116,3.00E-04,0.10012
441,117,0.9998,0.49992
5029,118,3.00E-04,0.10012
995,119,0.0016,0.10064
979,120,5.00E-04,0.1002
3855,121,3.00E-04,0.10012
11,122,3.00E-04,0.10012
929,123,2.00E-04,0.10008
4489,124,8.00E-04,0.10032
966,125,0.9999,0.49996
2810,126,3.00E-04,0.10012
3994,127,3.00E-04,0.10012
2893,128,7.00E-04,0.10028
4647,129,2.00E-04,0.10008
1676,130,0.0014,0.10056
1923,131,3.00E-04,0.10012
357,132,2.00E-04,0.10008
2228,133,3.00E-04,0.10012
1583,134,0.9998,0.49992
87,135,0.9991,0.49964
3741,136,3.00E-04,0.10012
3999,137,3.00E-04,0.10012
1024,138,4.00E-04,0.10016
5272,139,5.00E-04,0.1002
1409,140,6.00E-04,0.10024
3578,141,0.0082,0.10328
3477,142,3.00E-04,0.10012
1368,143,2.00E-04,0.10008
5211,144,0.9995,0.4998
1371,145,3.00E-04,0.10012
5296,146,3.00E-04,0.10012
3202,147,3.00E-04,0.10012
1622,148,4.00E-04,0.10016
